timestamp,open,high,low,close
1772889240000,24628.888,24628.888,24628.888,24628.888
1772889300000,24628.888,24628.888,24628.888,24628.888
1772889360000,24628.888,24628.888,24628.888,24628.888
1772889420000,24628.888,24628.888,24628.888,24628.888
1772889480000,24628.888,24628.888,24628.888,24628.888
1772889540000,24628.888,24628.888,24628.888,24628.888
1772889600000,24628.888,24628.888,24628.888,24628.888
1772889660000,24628.888,24628.888,24628.888,24628.888
1772889720000,24628.888,24628.888,24628.888,24628.888
1772889780000,24628.888,24628.888,24628.888,24628.888
1772889840000,24628.888,24628.888,24628.888,24628.888
1772889900000,24628.888,24628.888,24628.888,24628.888
1772889960000,24628.888,24628.888,24628.888,24628.888
1772890020000,24628.888,24628.888,24628.888,24628.888
1772890080000,24628.888,24628.888,24628.888,24628.888
1772890140000,24628.888,24628.888,24628.888,24628.888
1772890200000,24628.888,24628.888,24628.888,24628.888
1772890260000,24628.888,24628.888,24628.888,24628.888
1772890320000,24628.888,24628.888,24628.888,24628.888
1772890380000,24628.888,24628.888,24628.888,24628.888
1772890440000,24628.888,24628.888,24628.888,24628.888
1772890500000,24628.888,24628.888,24628.888,24628.888
1772890560000,24628.888,24628.888,24628.888,24628.888
1772890620000,24628.888,24628.888,24628.888,24628.888
1772890680000,24628.888,24628.888,24628.888,24628.888
1772890740000,24628.888,24628.888,24628.888,24628.888
1772890800000,24628.888,24628.888,24628.888,24628.888
1772890860000,24628.888,24628.888,24628.888,24628.888
1772890920000,24628.888,24628.888,24628.888,24628.888
1772890980000,24628.888,24628.888,24628.888,24628.888
1772891040000,24628.888,24628.888,24628.888,24628.888
1772891100000,24628.888,24628.888,24628.888,24628.888
1772891160000,24628.888,24628.888,24628.888,24628.888
1772891220000,24628.888,24628.888,24628.888,24628.888
1772891280000,24628.888,24628.888,24628.888,24628.888
1772891340000,24628.888,24628.888,24628.888,24628.888
1772891400000,24628.888,24628.888,24628.888,24628.888
1772891460000,24628.888,24628.888,24628.888,24628.888
1772891520000,24628.888,24628.888,24628.888,24628.888
1772891580000,24628.888,24628.888,24628.888,24628.888
1772891640000,24628.888,24628.888,24628.888,24628.888
1772891700000,24628.888,24628.888,24628.888,24628.888
1772891760000,24628.888,24628.888,24628.888,24628.888
1772891820000,24628.888,24628.888,24628.888,24628.888
1772891880000,24628.888,24628.888,24628.888,24628.888
1772891940000,24628.888,24628.888,24628.888,24628.888
1772892000000,24628.888,24628.888,24628.888,24628.888
1772892060000,24628.888,24628.888,24628.888,24628.888
1772892120000,24628.888,24628.888,24628.888,24628.888
1772892180000,24628.888,24628.888,24628.888,24628.888
1772892240000,24628.888,24628.888,24628.888,24628.888
1772892300000,24628.888,24628.888,24628.888,24628.888
1772892360000,24628.888,24628.888,24628.888,24628.888
1772892420000,24628.888,24628.888,24628.888,24628.888
1772892480000,24628.888,24628.888,24628.888,24628.888
1772892540000,24628.888,24628.888,24628.888,24628.888
1772892600000,24628.888,24628.888,24628.888,24628.888
1772892660000,24628.888,24628.888,24628.888,24628.888
1772892720000,24628.888,24628.888,24628.888,24628.888
1772892780000,24628.888,24628.888,24628.888,24628.888
1772892840000,24628.888,24628.888,24628.888,24628.888
1772892900000,24628.888,24628.888,24628.888,24628.888
1772892960000,24628.888,24628.888,24628.888,24628.888
1772893020000,24628.888,24628.888,24628.888,24628.888
1772893080000,24628.888,24628.888,24628.888,24628.888
1772893140000,24628.888,24628.888,24628.888,24628.888
1772893200000,24628.888,24628.888,24628.888,24628.888
1772893260000,24628.888,24628.888,24628.888,24628.888
1772893320000,24628.888,24628.888,24628.888,24628.888
1772893380000,24628.888,24628.888,24628.888,24628.888
1772893440000,24628.888,24628.888,24628.888,24628.888
1772893500000,24628.888,24628.888,24628.888,24628.888
1772893560000,24628.888,24628.888,24628.888,24628.888
1772893620000,24628.888,24628.888,24628.888,24628.888
1772893680000,24628.888,24628.888,24628.888,24628.888
1772893740000,24628.888,24628.888,24628.888,24628.888
1772893800000,24628.888,24628.888,24628.888,24628.888
1772893860000,24628.888,24628.888,24628.888,24628.888
1772893920000,24628.888,24628.888,24628.888,24628.888
1772893980000,24628.888,24628.888,24628.888,24628.888
1772894040000,24628.888,24628.888,24628.888,24628.888
1772894100000,24628.888,24628.888,24628.888,24628.888
1772894160000,24628.888,24628.888,24628.888,24628.888
1772894220000,24628.888,24628.888,24628.888,24628.888
1772894280000,24628.888,24628.888,24628.888,24628.888
1772894340000,24628.888,24628.888,24628.888,24628.888
1772894400000,24628.888,24628.888,24628.888,24628.888
1772894460000,24628.888,24628.888,24628.888,24628.888
1772894520000,24628.888,24628.888,24628.888,24628.888
1772894580000,24628.888,24628.888,24628.888,24628.888
1772894640000,24628.888,24628.888,24628.888,24628.888
1772894700000,24628.888,24628.888,24628.888,24628.888
1772894760000,24628.888,24628.888,24628.888,24628.888
1772894820000,24628.888,24628.888,24628.888,24628.888
1772894880000,24628.888,24628.888,24628.888,24628.888
1772894940000,24628.888,24628.888,24628.888,24628.888
1772895000000,24628.888,24628.888,24628.888,24628.888
1772895060000,24628.888,24628.888,24628.888,24628.888
1772895120000,24628.888,24628.888,24628.888,24628.888
1772895180000,24628.888,24628.888,24628.888,24628.888
1772895240000,24628.888,24628.888,24628.888,24628.888
1772895300000,24628.888,24628.888,24628.888,24628.888
1772895360000,24628.888,24628.888,24628.888,24628.888
1772895420000,24628.888,24628.888,24628.888,24628.888
1772895480000,24628.888,24628.888,24628.888,24628.888
1772895540000,24628.888,24628.888,24628.888,24628.888
1772895600000,24628.888,24628.888,24628.888,24628.888
1772895660000,24628.888,24628.888,24628.888,24628.888
1772895720000,24628.888,24628.888,24628.888,24628.888
1772895780000,24628.888,24628.888,24628.888,24628.888
1772895840000,24628.888,24628.888,24628.888,24628.888
1772895900000,24628.888,24628.888,24628.888,24628.888
1772895960000,24628.888,24628.888,24628.888,24628.888
1772896020000,24628.888,24628.888,24628.888,24628.888
1772896080000,24628.888,24628.888,24628.888,24628.888
1772896140000,24628.888,24628.888,24628.888,24628.888
1772896200000,24628.888,24628.888,24628.888,24628.888
