entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason,risk_distance,realized_distance,planned_sl,planned_tp,R,partial_tp_hit,partial_exit_time,partial_exit_price,entry_bar_time,exit_bar_time,entry_bar_low,entry_bar_high,exit_bar_low,exit_bar_high,entry_feasible,exit_feasible,violated_side
2024-08-28T14:00:00+00:00,2024-08-28T22:00:00+00:00,SHORT,19479.255142857146,19153.20885714287,32604628.571427748,TP,163.02314285713874,326.0462857142775,19642.278285714285,19153.20885714287,2.0,False,,,2024-08-28T14:00:00+00:00,2024-08-28T22:00:00+00:00,19387.831,19526.189,19077.886,19200.299,True,True,none
2024-09-02T16:00:00+00:00,2024-09-03T09:00:00+00:00,LONG,19585.815,19443.532785714284,-14228221.428571487,SL,142.28221428571487,-142.28221428571487,19443.532785714284,19870.37942857143,-1.0,False,,,2024-09-02T16:00:00+00:00,2024-09-03T09:00:00+00:00,19579.598,19610.12,19396.543,19464.419,True,True,none
2024-09-10T14:00:00+00:00,2024-09-11T18:00:00+00:00,LONG,18721.73285,19122.99019285715,40125734.285714865,TP,200.6286714285743,401.2573428571486,18521.104178571426,19122.99019285715,2.0,False,,,2024-09-10T14:00:00+00:00,2024-09-11T18:00:00+00:00,18647.298,18789.41,19007.953,19154.031,True,True,none
2024-09-13T16:00:00+00:00,2024-09-16T13:00:00+00:00,LONG,19472.91397857143,19358.190642857142,-11472333.57142868,SL,114.7233357142868,-114.7233357142868,19358.190642857142,19702.360650000002,-1.0,False,,,2024-09-13T16:00:00+00:00,2024-09-16T13:00:00+00:00,19461.653,19543.609,19310.765,19447.064,True,True,none
2024-09-17T06:00:00+00:00,2024-09-17T07:00:00+00:00,SHORT,19449.177871428572,19462.063607142856,-1288573.5714284237,SL,12.885735714284237,-12.885735714284237,19462.063607142856,19423.406400000003,-1.0,False,,,2024-09-17T06:00:00+00:00,2024-09-17T07:00:00+00:00,19427.753,19457.275,19444.976,19498.997,True,True,none
2024-09-17T16:00:00+00:00,2024-09-17T17:00:00+00:00,LONG,19459.449721428573,19354.370642857142,-10507907.857143072,SL,105.07907857143073,-105.07907857143073,19354.370642857142,19669.607878571434,-1.0,False,,,2024-09-17T16:00:00+00:00,2024-09-17T17:00:00+00:00,19349.92,19537.599,19326.008,19446.299,True,True,none
2024-09-24T16:00:00+00:00,2024-10-01T14:00:00+00:00,LONG,19971.663835714287,19699.480678571428,-27218315.71428593,SL,272.1831571428593,-272.1831571428593,19699.480678571428,20516.030150000006,-1.0,False,,,2024-09-24T16:00:00+00:00,2024-10-01T14:00:00+00:00,19932.731,19993.789,19665.986,19871.389,True,True,none
2024-10-04T14:00:00+00:00,2024-10-07T22:00:00+00:00,LONG,19891.956892857143,19739.58142857143,-15237546.428571295,SL,152.37546428571295,-152.37546428571295,19739.58142857143,20196.70782142857,-1.0,False,,,2024-10-04T14:00:00+00:00,2024-10-07T22:00:00+00:00,19815.82,19931.632,19713.831,19829.989,True,True,none
2024-10-08T19:00:00+00:00,2024-11-07T13:00:00+00:00,LONG,20098.543107142857,20852.259964285713,75371685.71428555,TP,376.8584285714278,753.7168571428556,19721.68467857143,20852.259964285713,2.0,False,,,2024-10-08T19:00:00+00:00,2024-11-07T13:00:00+00:00,20063.642,20136.087,20833.686,20874.599,True,True,none
2024-11-11T15:00:00+00:00,2024-11-14T23:00:00+00:00,SHORT,21111.198764285717,20832.748935714288,27844982.857142895,TP,139.22491428571448,278.44982857142895,21250.42367857143,20832.748935714288,2.0,False,,,2024-11-11T15:00:00+00:00,2024-11-14T23:00:00+00:00,21047.531,21132.087,20832.553,20876.131,True,True,none
2024-11-18T16:00:00+00:00,2024-11-19T13:00:00+00:00,LONG,20579.19507857143,20356.414535714288,-22278054.285714097,SL,222.78054285714097,-222.78054285714097,20356.414535714288,21024.75616428571,-1.0,False,,,2024-11-18T16:00:00+00:00,2024-11-19T13:00:00+00:00,20546.989,20631.198,20320.331,20525.076,True,True,none
2024-11-19T18:00:00+00:00,2024-12-04T11:00:00+00:00,LONG,20618.11502857143,21372.674942857146,75455991.42857173,TP,377.2799571428586,754.5599142857172,20240.83507142857,21372.674942857146,2.0,False,,,2024-11-19T18:00:00+00:00,2024-12-04T11:00:00+00:00,20590.365,20701.676,21346.953,21374.689,True,True,none
2024-12-05T14:00:00+00:00,2024-12-05T19:00:00+00:00,LONG,21472.564635714283,21426.858285714283,-4570635.000000038,SL,45.706350000000384,-45.706350000000384,21426.858285714283,21563.977335714284,-1.0,False,,,2024-12-05T14:00:00+00:00,2024-12-05T19:00:00+00:00,21447.486,21500.031,21422.81,21465.376,True,True,none
2024-12-09T14:00:00+00:00,2024-12-10T19:00:00+00:00,SHORT,21574.490614285714,21369.069271428576,20542134.285713837,TP,102.71067142856919,205.42134285713837,21677.201285714284,21369.069271428576,2.0,False,,,2024-12-09T14:00:00+00:00,2024-12-10T19:00:00+00:00,21540.286,21605.564,21360.386,21420.075,True,True,none
2024-12-10T23:00:00+00:00,2024-12-11T14:00:00+00:00,SHORT,21395.082871428574,21593.43317857143,-19835030.714285675,SL,198.35030714285676,-198.35030714285676,21593.43317857143,20998.38225714286,-1.0,False,,,2024-12-10T23:00:00+00:00,2024-12-11T14:00:00+00:00,21376.265,21400.108,21486.286,21659.108,True,True,none
